"Nocom";"Refprod";"PrixUnit";"Qte";"Remise%"
10656;44;97;28;0.10
10656;47;48;6;0.10
10657;15;78;50;0.00
10657;41;48;24;0.00
10657;46;60;45;0.00
10657;47;48;10;0.00
10657;56;190;45;0.00
10657;60;170;30;0.00
10658;21;50;60;0.00
10658;40;92;70;0.05
10658;60;170;55;0.05
10658;77;65;70;0.05
10659;31;62;20;0.05
10659;40;92;24;0.05
10659;70;75;40;0.05
10660;20;405;21;0.00
10661;39;90;3;0.20
10661;58;66;49;0.20
10662;68;62;10;0.00
10663;40;92;30;0.05
10663;42;70;30;0.05
10663;51;265;20;0.05
10664;10;155;24;0.15
10664;56;190;12;0.15
10664;65;105;15;0.15
10665;51;265;20;0.00
10665;59;275;1;0.00
10665;76;90;10;0.00
10666;29;619;36;0.00
10666;65;105;10;0.00
10667;69;180;45;0.20
10667;71;108;14;0.20
10668;31;62;8;0.10
10668;55;120;4;0.10
10668;64;166;15;0.10
10669;36;95;30;0.00
10670;23;45;32;0.00
10670;46;60;60;0.00
10670;67;70;25;0.00
10670;73;75;50;0.00
10670;75;39;25;0.00
10671;16;87;10;0.00
10671;62;246;10;0.00
10671;65;105;12;0.00
10672;38;1318;15;0.10
10672;71;108;12;0.00
10673;16;87;3;0.00
10673;42;70;6;0.00
10673;43;230;6;0.00
10674;23;45;5;0.00
10675;14;116;30;0.00
10675;53;164;10;0.00
10675;58;66;30;0.00
10676;10;155;2;0.00
10676;19;46;7;0.00
10676;44;97;21;0.00
10677;26;156;30;0.15
10677;33;12;8;0.15
10678;12;190;100;0.00
10678;33;12;30;0.00
10678;41;48;120;0.00
10678;54;37;30;0.00
10679;59;275;12;0.00
10680;16;87;50;0.25
10680;31;62;20;0.25
10680;42;70;40;0.25
10681;19;46;30;0.10
10681;21;50;12;0.10
10681;64;166;28;0.00
10682;33;12;30;0.00
10682;66;85;4;0.00
10682;75;39;30;0.00
10683;52;35;9;0.00
10684;40;92;20;0.00
10684;47;48;40;0.00
10684;60;170;30;0.00
10685;10;155;20;0.00
10685;41;48;4;0.00
10685;47;48;15;0.00
10686;17;195;30;0.20
10686;26;156;15;0.00
10687;9;485;50;0.25
10687;29;619;10;0.00
10687;36;95;6;0.25
10688;10;155;18;0.10
10688;28;228;60;0.10
10688;34;70;14;0.00
10689;1;90;35;0.25
10690;56;190;20;0.25
10690;77;65;30;0.25
10691;1;90;30;0.00
10691;29;619;40;0.00
10691;43;230;40;0.00
10691;44;97;24;0.00
10691;62;246;48;0.00
10692;63;220;20;0.00
10693;9;485;6;0.00
10693;54;37;60;0.15
10693;69;180;30;0.15
10693;73;75;15;0.15
10694;7;150;90;0.00
10694;59;275;25;0.00
10694;70;75;50;0.00
10695;8;200;10;0.00
10695;12;190;4;0.00
10695;24;22;20;0.00
10696;17;195;20;0.00
10696;46;60;18;0.00
10697;19;46;7;0.25
10697;35;90;9;0.25
10697;58;66;30;0.25
10697;70;75;30;0.25
10698;11;105;15;0.00
10698;17;195;8;0.05
10698;29;619;12;0.05
10698;65;105;65;0.05
10698;70;75;8;0.05
10699;47;48;12;0.00
10700;1;90;5;0.20
10700;34;70;12;0.20
10700;68;62;40;0.20
10700;71;108;60;0.20
10701;59;275;42;0.15
10701;71;108;20;0.15
10701;76;90;35;0.15
10702;3;50;6;0.00
10702;76;90;15;0.00
10703;2;95;5;0.00
10703;59;275;35;0.00
10703;73;75;35;0.00
10704;4;110;6;0.00
10704;24;22;35;0.00
10704;48;64;24;0.00
10705;31;62;20;0.00
10705;32;160;4;0.00
10706;16;87;20;0.00
10706;43;230;24;0.00
10706;59;275;8;0.00
10707;55;120;21;0.00
10707;57;98;40;0.00
10707;70;75;28;0.15
10708;5;107;4;0.00
10708;36;95;5;0.00
10709;8;200;40;0.00
10709;51;265;28;0.00
10709;60;170;10;0.00
10710;19;46;5;0.00
10710;47;48;5;0.00
10711;19;46;12;0.00
10711;41;48;42;0.00
10711;53;164;120;0.00
10712;53;164;3;0.05
10712;56;190;30;0.00
10713;10;155;18;0.00
10713;26;156;30;0.00
10713;45;48;110;0.00
10713;46;60;24;0.00
10714;2;95;30;0.25
10714;17;195;27;0.25
10714;47;48;50;0.25
10714;56;190;18;0.25
10714;58;66;12;0.25
10715;10;155;21;0.00
10715;71;108;30;0.00
10716;21;50;5;0.00
10716;51;265;7;0.00
10716;61;142;10;0.00
10717;21;50;32;0.05
10717;54;37;15;0.00
10717;69;180;25;0.05
10718;12;190;36;0.00
10718;16;87;20;0.00
10718;36;95;40;0.00
10718;62;246;20;0.00
10719;18;312;12;0.25
10719;30;129;3;0.25
10719;54;37;40;0.25
10720;35;90;21;0.00
10720;71;108;8;0.00
10721;44;97;50;0.05
10722;2;95;3;0.00
10722;31;62;50;0.00
10722;68;62;45;0.00
10722;75;39;42;0.00
10723;26;156;15;0.00
10724;10;155;16;0.00
10724;61;142;5;0.00
10725;41;48;12;0.00
10725;52;35;4;0.00
10725;55;120;6;0.00
10726;4;110;25;0.00
10726;11;105;5;0.00
10727;17;195;20;0.05
10727;56;190;10;0.05
10727;59;275;10;0.05
10728;30;129;15;0.00
10728;40;92;6;0.00
10728;55;120;12;0.00
10728;60;170;15;0.00
10729;1;90;50;0.00
10729;21;50;30;0.00
10729;50;81;40;0.00
10730;16;87;15;0.05
10730;31;62;3;0.05
10730;65;105;10;0.05
10731;21;50;40;0.05
10731;51;265;30;0.05
10732;76;90;20;0.00
10733;14;116;16;0.00
10733;28;228;20;0.00
10733;52;35;25;0.00
10734;6;125;30;0.00
10734;30;129;15;0.00
10734;76;90;20;0.00
10735;61;142;20;0.10
10735;77;65;2;0.10
10736;65;105;40;0.00
10736;75;39;20;0.00
10737;13;30;4;0.00
10737;41;48;12;0.00
10738;16;87;3;0.00
10739;36;95;6;0.00
10739;52;35;18;0.00
10740;28;228;5;0.20
10740;35;90;35;0.20
10740;45;48;40;0.20
10740;56;190;14;0.20
10741;2;95;15;0.20
10742;3;50;20;0.00
10742;60;170;50;0.00
10742;72;174;35;0.00
10743;46;60;28;0.05
10744;40;92;50;0.20
10745;18;312;24;0.00
10745;44;97;16;0.00
10745;59;275;45;0.00
10745;72;174;7;0.00
10746;13;30;6;0.00
10746;42;70;28;0.00
10746;62;246;9;0.00
10746;69;180;40;0.00
10747;31;62;8;0.00
10747;41;48;35;0.00
10747;63;220;9;0.00
10747;69;180;30;0.00
10748;23;45;44;0.00
10748;40;92;40;0.00
10748;56;190;28;0.00
10749;56;190;15;0.00
10749;59;275;6;0.00
10749;76;90;10;0.00
10750;14;116;5;0.15
10750;45;48;40;0.15
10750;59;275;25;0.15
10751;26;156;12;0.10
10751;30;129;30;0.00
10751;50;81;20;0.10
10751;73;75;15;0.00
10752;1;90;8;0.00
10752;69;180;3;0.00
10753;45;48;4;0.00
10753;74;50;5;0.00
10754;40;92;3;0.00
10755;47;48;30;0.25
10755;56;190;30;0.25
10755;57;98;14;0.25
10755;69;180;25;0.25
10756;18;312;21;0.20
10756;36;95;20;0.20
10756;68;62;6;0.20
10756;69;180;20;0.20
10757;34;70;30;0.00
10757;59;275;7;0.00
10757;62;246;30;0.00
10757;64;166;24;0.00
10758;26;156;20;0.00
10758;52;35;60;0.00
10758;70;75;40;0.00
10759;32;160;10;0.00
10760;25;70;12;0.25
10760;27;220;40;0.00
10760;43;230;30;0.25
10761;25;70;35;0.25
10761;75;39;18;0.00
10762;39;90;16;0.00
10762;47;48;30;0.00
10762;51;265;28;0.00
10762;56;190;60;0.00
10763;21;50;40;0.00
10763;22;105;6;0.00
10763;24;22;20;0.00
10764;3;50;20;0.10
10764;39;90;130;0.10
10765;65;105;80;0.10
10766;2;95;40;0.00
10766;7;150;35;0.00
10766;68;62;40;0.00
10767;42;70;2;0.00
10768;22;105;4;0.00
10768;31;62;50;0.00
10768;60;170;15;0.00
10768;71;108;12;0.00
10769;41;48;30;0.05
10769;52;35;15;0.05
10769;61;142;20;0.00
10769;62;246;15;0.00
10770;11;105;15;0.25
10771;71;108;16;0.00
10772;29;619;18;0.00
10772;59;275;25;0.00
10773;17;195;33;0.00
10773;31;62;70;0.20
10773;75;39;7;0.20
10774;31;62;2;0.25
10774;66;85;50;0.00
10775;10;155;6;0.00
10775;67;70;3;0.00
10776;31;62;16;0.05
10776;42;70;12;0.05
10776;45;48;27;0.05
10776;51;265;120;0.05
10777;42;70;20;0.20
10778;41;48;10;0.00
10779;16;87;20;0.00
10779;62;246;20;0.00
10780;70;75;35;0.00
10780;77;65;15;0.00
10781;54;37;3;0.20
10781;56;190;20;0.20
10781;74;50;35;0.00
10782;31;62;1;0.00
10783;31;62;10;0.00
10783;38;1318;5;0.00
10784;36;95;30;0.00
10784;39;90;2;0.15
10784;72;174;30;0.15
10785;10;155;10;0.00
10785;75;39;10;0.00
10786;8;200;30;0.20
10786;30;129;15;0.20
10786;75;39;42;0.20
10787;2;95;15;0.05
10787;29;619;20;0.05
10788;19;46;50;0.05
10788;75;39;40;0.05
10789;18;312;30;0.00
10789;35;90;15;0.00
10789;63;220;30;0.00
10789;68;62;18;0.00
10790;7;150;3;0.15
10790;56;190;20;0.15
10791;29;619;14;0.05
10791;41;48;20;0.05
10792;2;95;10;0.00
10792;54;37;3;0.00
10792;68;62;15;0.00
10793;41;48;14;0.00
10793;52;35;8;0.00
10794;14;116;15;0.20
10794;54;37;6;0.20
10795;16;87;65;0.00
10795;17;195;35;0.25
10796;26;156;21;0.20
10796;44;97;10;0.00
10796;64;166;35;0.20
10796;69;180;24;0.20
10797;11;105;20;0.00
10798;62;246;2;0.00
10798;72;174;10;0.00
10799;13;30;20;0.15
10799;24;22;20;0.15
10799;59;275;25;0.00
10800;11;105;50;0.10
10800;51;265;10;0.10
10800;54;37;7;0.10
10801;17;195;40;0.25
10801;29;619;20;0.25
10802;30;129;25;0.25
10802;51;265;30;0.25
10802;55;120;60;0.25
10802;62;246;5;0.25
10803;19;46;24;0.05
10803;25;70;15;0.05
10803;59;275;15;0.05
10804;10;155;36;0.00
10804;28;228;24;0.00
10804;49;100;4;0.15
10805;34;70;10;0.00
10805;38;1318;10;0.00
10806;2;95;20;0.25
10806;65;105;2;0.00
10806;74;50;15;0.25
10807;40;92;1;0.00
10808;56;190;20;0.15
10808;76;90;50;0.15
10809;52;35;20;0.00
10810;13;30;7;0.00
10810;25;70;5;0.00
10810;70;75;5;0.00
10811;19;46;15;0.00
10811;23;45;18;0.00
10811;40;92;30;0.00
10812;31;62;16;0.10
10812;72;174;40;0.10
10812;77;65;20;0.00
10813;2;95;12;0.20
10813;46;60;35;0.00
10814;41;48;20;0.00
10814;43;230;20;0.15
10814;48;64;8;0.15
10814;61;142;30;0.15
10815;33;12;16;0.00
10816;38;1318;30;0.05
10816;62;246;20;0.05
10817;26;156;40;0.15
10817;38;1318;30;0.00
10817;40;92;60;0.15
10817;62;246;25;0.15
10818;32;160;20;0.00
10818;41;48;20;0.00
10819;43;230;7;0.00
10819;75;39;20;0.00
10820;56;190;30;0.00
10821;35;90;20;0.00
10821;51;265;6;0.00
10822;62;246;3;0.00
10822;70;75;6;0.00
10823;11;105;20;0.10
10823;57;98;15;0.00
10823;59;275;40;0.10
10823;77;65;15;0.10
10824;41;48;12;0.00
10824;70;75;9;0.00
10825;26;156;12;0.00
10825;53;164;20;0.00
10826;31;62;35;0.00
10826;57;98;15;0.00
10827;10;155;15;0.00
10827;39;90;21;0.00
10828;20;405;5;0.00
10828;38;1318;2;0.00
10829;2;95;10;0.00
10829;8;200;20;0.00
10829;13;30;10;0.00
10829;60;170;21;0.00
10830;6;125;6;0.00
10830;39;90;28;0.00
10830;60;170;30;0.00
10830;68;62;24;0.00
10831;19;46;2;0.00
10831;35;90;8;0.00
10831;38;1318;8;0.00
10831;43;230;9;0.00
10832;13;30;3;0.20
10832;25;70;10;0.20
10832;44;97;16;0.20
10832;64;166;3;0.00
10833;7;150;20;0.10
10833;31;62;9;0.10
10833;53;164;9;0.10
10834;29;619;8;0.05
10834;30;129;20;0.05
10835;59;275;15;0.00
10835;77;65;2;0.20
10836;22;105;52;0.00
10836;35;90;6;0.00
10836;57;98;24;0.00
10836;60;170;60;0.00
10836;64;166;30;0.00
10837;13;30;6;0.00
10837;40;92;25;0.00
10837;47;48;40;0.25
10837;76;90;21;0.25
10838;1;90;4;0.25
10838;18;312;25;0.25
10838;36;95;50;0.25
10839;58;66;30;0.10
10839;72;174;15;0.10
10840;25;70;6;0.20
10840;39;90;10;0.20
10841;10;155;16;0.00
10841;56;190;30;0.00
10841;59;275;50;0.00
10841;77;65;15;0.00
10842;11;105;15;0.00
10842;43;230;5;0.00
10842;68;62;20;0.00
10842;70;75;12;0.00
10843;51;265;4;0.25
10844;22;105;35;0.00
10845;23;45;70;0.10
10845;35;90;25;0.10
10845;42;70;42;0.10
10845;58;66;60;0.10
10845;64;166;48;0.00
10846;4;110;21;0.00
10846;70;75;30;0.00
10846;74;50;20;0.00
10847;1;90;80;0.20
10847;19;46;12;0.20
10847;37;130;60;0.20
10847;45;48;36;0.20
10847;60;170;45;0.20
10847;71;108;55;0.20
10848;5;107;30;0.00
10848;9;485;3;0.00
10849;3;50;49;0.00
10849;26;156;18;0.15
10850;25;70;20;0.15
10850;33;12;4;0.15
10850;70;75;30;0.15
10851;2;95;5;0.05
10851;25;70;10;0.05
10851;57;98;10;0.05
10851;59;275;42;0.05
10852;2;95;15;0.00
10852;17;195;6;0.00
10852;62;246;50;0.00
10853;18;312;10;0.00
10854;10;155;100;0.15
10854;13;30;65;0.15
10855;16;87;50;0.00
10855;31;62;14;0.00
10855;56;190;24;0.00
10855;65;105;15;0.15
10856;2;95;20;0.00
10856;42;70;20;0.00
10857;3;50;30;0.00
10857;26;156;35;0.25
10857;29;619;10;0.25
10858;7;150;5;0.00
10858;27;220;10;0.00
10858;70;75;4;0.00
10859;24;22;40;0.25
10859;54;37;35;0.25
10859;64;166;30;0.25
10860;51;265;3;0.00
10860;76;90;20;0.00
10861;17;195;42;0.00
10861;18;312;20;0.00
10861;21;50;40;0.00
10861;33;12;35;0.00
10861;62;246;3;0.00
10862;11;105;25;0.00
10862;52;35;8;0.00
10863;1;90;20;0.15
10863;58;66;12;0.15
10864;35;90;4;0.00
10864;67;70;15;0.00
10865;38;1318;60;0.05
10865;39;90;80;0.05
10866;2;95;21;0.25
10866;24;22;6;0.25
10866;30;129;40;0.25
10867;53;164;3;0.00
10868;26;156;20;0.00
10868;35;90;30;0.00
10868;49;100;42;0.10
10869;1;90;40;0.00
10869;11;105;10;0.00
10869;23;45;50;0.00
10869;68;62;20;0.00
10870;35;90;3;0.00
10870;51;265;2;0.00
10871;6;125;50;0.05
10871;16;87;12;0.05
10871;17;195;16;0.05
10872;55;120;10;0.05
10872;62;246;20;0.05
10872;64;166;15;0.05
10872;65;105;21;0.05
10873;21;50;20;0.00
10873;28;228;3;0.00
10874;10;155;10;0.00
10875;19;46;25;0.00
10875;47;48;21;0.10
10875;49;100;15;0.00
10876;46;60;21;0.00
10876;64;166;20;0.00
10877;16;87;30;0.25
10877;18;312;25;0.00
10878;20;405;20;0.05
10879;40;92;12;0.00
10879;65;105;10;0.00
10879;76;90;10;0.00
10880;23;45;30;0.20
10880;61;142;30;0.20
10880;70;75;50;0.20
10881;73;75;10;0.00
10882;42;70;25;0.00
10882;49;100;20;0.15
10882;54;37;32;0.15
10883;24;22;8;0.00
10884;21;50;40;0.05
10884;56;190;21;0.05
10884;65;105;12;0.05
10885;2;95;20;0.00
10885;24;22;12;0.00
10885;70;75;30;0.00
10885;77;65;25;0.00
10886;10;155;70;0.00
10886;31;62;35;0.00
10886;77;65;40;0.00
10887;25;70;5;0.00
10888;2;95;20;0.00
10888;68;62;18;0.00
10889;11;105;40;0.00
10889;38;1318;40;0.00
10890;17;195;15;0.00
10890;34;70;10;0.00
10890;41;48;14;0.00
10891;30;129;15;0.05
10892;59;275;40;0.05
10893;8;200;30;0.00
10893;24;22;10;0.00
10893;29;619;24;0.00
10893;30;129;35;0.00
10893;36;95;20;0.00
10894;13;30;28;0.05
10894;69;180;50;0.05
10894;75;39;120;0.05
10895;24;22;110;0.00
10895;39;90;45;0.00
10895;40;92;91;0.00
10895;60;170;100;0.00
10896;45;48;15;0.00
10896;56;190;16;0.00
10897;29;619;80;0.00
10897;30;129;36;0.00
10898;13;30;5;0.00
10899;39;90;8;0.15
10900;70;75;3;0.25
10901;41;48;30;0.00
10901;71;108;30;0.00
10902;55;120;30;0.15
10902;62;246;6;0.15
10903;13;30;40;0.00
10903;65;105;21;0.00
10903;68;62;20;0.00
10904;58;66;15;0.00
10904;62;246;35;0.00
10905;1;90;20;0.05
10906;61;142;15;0.00
10907;75;39;14;0.00
10908;7;150;20;0.05
10908;52;35;14;0.05
10909;7;150;12;0.00
10909;16;87;15;0.00
10909;41;48;5;0.00
10910;19;46;12;0.00
10910;49;100;10;0.00
10910;61;142;5;0.00
10911;1;90;10;0.00
10911;17;195;12;0.00
10911;67;70;15;0.00
10912;11;105;40;0.25
10912;29;619;60;0.25
10913;4;110;30;0.25
10913;33;12;40;0.25
10913;58;66;15;0.00
10914;71;108;25;0.00
10915;17;195;10;0.00
10915;33;12;30;0.00
10915;54;37;10;0.00
10916;16;87;6;0.00
10916;32;160;6;0.00
10916;57;98;20;0.00
10917;30;129;1;0.00
10917;60;170;10;0.00
10918;1;90;60;0.25
10918;60;170;25;0.25
10919;16;87;24;0.00
10919;25;70;24;0.00
10919;40;92;20;0.00
10920;50;81;24;0.00
10921;35;90;10;0.00
10921;63;220;40;0.00
10922;17;195;15;0.00
10922;24;22;35;0.00
10923;42;70;10;0.20
10923;43;230;10;0.20
10923;67;70;24;0.20
10924;10;155;20;0.10
10924;28;228;30;0.10
10924;75;39;6;0.00
10925;36;95;25;0.15
10925;52;35;12;0.15
10926;11;105;2;0.00
10926;13;30;10;0.00
10926;19;46;7;0.00
10926;72;174;10;0.00
10927;20;405;5;0.00
10927;52;35;5;0.00
10927;76;90;20;0.00
10928;47;48;5;0.00
10928;76;90;5;0.00
10929;21;50;60;0.00
10929;75;39;49;0.00
10929;77;65;15;0.00
10930;21;50;36;0.00
10930;27;220;25;0.00
10930;55;120;25;0.20
10930;58;66;30;0.20
10931;13;30;42;0.15
10931;57;98;30;0.00
10932;16;87;30;0.10
10932;62;246;14;0.10
10932;72;174;16;0.00
10932;75;39;20;0.10
10933;53;164;2;0.00
10933;61;142;30;0.00
10934;6;125;20;0.00
10935;1;90;21;0.00
10935;18;312;4;0.25
10935;23;45;8;0.25
10936;36;95;30;0.20
10937;28;228;8;0.00
10937;34;70;20;0.00
10938;13;30;20;0.25
10938;43;230;24;0.25
10938;60;170;49;0.25
10938;71;108;35;0.25
10939;2;95;10;0.15
10939;67;70;40;0.15
10940;7;150;8;0.00
10940;13;30;20;0.00
10941;31;62;44;0.25
10941;62;246;30;0.25
10941;68;62;80;0.25
10941;72;174;50;0.00
10942;49;100;28;0.00
10943;13;30;15;0.00
10943;22;105;21;0.00
10943;46;60;15;0.00
10944;11;105;5;0.25
10944;44;97;18;0.25
10944;56;190;18;0.00
10945;13;30;20;0.00
10945;31;62;10;0.00
10946;10;155;25;0.00
10946;24;22;25;0.00
10946;77;65;40;0.00
10947;59;275;4;0.00
10948;50;81;9;0.00
10948;51;265;40;0.00
10948;55;120;4;0.00
10949;6;125;12;0.00
10949;10;155;30;0.00
10949;17;195;6;0.00
10949;62;246;60;0.00
10950;4;110;5;0.00
10951;33;12;15;0.05
10951;41;48;6;0.05
10951;75;39;50;0.05
10952;6;125;16;0.05
10952;28;228;2;0.00
10953;20;405;50;0.05
10953;31;62;50;0.05
10954;16;87;28;0.15
10954;31;62;25;0.15
10954;45;48;30;0.00
10954;60;170;24;0.15
10955;75;39;12;0.20
10956;21;50;12;0.00
10956;47;48;14;0.00
10956;51;265;8;0.00
10957;30;129;30;0.00
10957;35;90;40;0.00
10957;64;166;8;0.00
10958;5;107;20;0.00
10958;7;150;6;0.00
10958;72;174;5;0.00
10959;75;39;20;0.15
10960;24;22;10;0.25
10960;41;48;24;0.00
10961;52;35;6;0.05
10961;76;90;60;0.00
10962;7;150;45;0.00
10962;13;30;77;0.00
10962;53;164;20;0.00
10962;69;180;9;0.00
10962;76;90;44;0.00
10963;60;170;2;0.15
10964;18;312;6;0.00
10964;38;1318;5;0.00
10964;69;180;10;0.00
10965;51;265;16;0.00
10966;37;130;8;0.00
10966;56;190;12;0.15
10966;62;246;12;0.15
10967;19;46;12;0.00
10967;49;100;40;0.00
10968;12;190;30;0.00
10968;24;22;30;0.00
10968;64;166;4;0.00
10969;46;60;9;0.00
10970;52;35;40;0.20
10971;29;619;14;0.00
10972;17;195;6;0.00
10972;33;12;7;0.00
10973;26;156;5;0.00
10973;41;48;6;0.00
10973;75;39;10;0.00
10974;63;220;10;0.00
10975;8;200;16;0.00
10975;75;39;10;0.00
10976;28;228;20;0.00
10977;39;90;30;0.00
10977;47;48;30;0.00
10977;51;265;10;0.00
10977;63;220;20;0.00
10978;8;200;20;0.15
10978;21;50;40;0.15
10978;40;92;10;0.00
10978;44;97;6;0.15
10979;7;150;18;0.00
10979;12;190;20;0.00
10979;24;22;80;0.00
10979;27;220;30;0.00
10979;31;62;24;0.00
10979;63;220;35;0.00
10980;75;39;40;0.20
10981;38;1318;60;0.00
10982;7;150;20;0.00
10982;43;230;9;0.00
10983;13;30;84;0.15
10983;57;98;15;0.00
10984;16;87;55;0.00
10984;24;22;20;0.00
10984;36;95;40;0.00
10985;16;87;36;0.10
10985;18;312;8;0.10
10985;32;160;35;0.10
10986;11;105;30;0.00
10986;20;405;15;0.00
10986;76;90;10;0.00
10986;77;65;15;0.00
10987;7;150;60;0.00
10987;43;230;6;0.00
10987;72;174;20;0.00
10988;7;150;60;0.00
10988;62;246;40;0.10
10989;6;125;40;0.00
10989;11;105;15;0.00
10989;41;48;4;0.00
10990;21;50;65;0.00
10990;34;70;60;0.15
10990;55;120;65;0.15
10990;61;142;66;0.15
10991;2;95;50;0.20
10991;70;75;20;0.20
10991;76;90;90;0.20
10992;72;174;2;0.00
10993;29;619;50;0.25
10993;41;48;35;0.25
10994;59;275;18;0.05
10995;51;265;20;0.00
10995;60;170;4;0.00
10996;42;70;40;0.00
10997;32;160;50;0.00
10997;46;60;20;0.25
10997;52;35;20;0.25
10998;24;22;12;0.00
10998;61;142;7;0.00
10998;74;50;20;0.00
10998;75;39;30;0.00
10999;41;48;20;0.05
10999;51;265;15;0.05
10999;77;65;21;0.05
11000;4;110;25;0.25
11000;24;22;30;0.25
11000;77;65;30;0.00
11001;7;150;60;0.00
11001;22;105;25;0.00
11001;46;60;25;0.00
11001;55;120;6;0.00
11002;13;30;56;0.00
11002;35;90;15;0.15
11002;42;70;24;0.15
11002;55;120;40;0.00
11003;1;90;4;0.00
11003;40;92;10;0.00
11003;52;35;10;0.00
11004;26;156;6;0.00
11004;76;90;6;0.00
11005;1;90;2;0.00
11005;59;275;10;0.00
11006;1;90;8;0.00
11006;29;619;2;0.25
11007;8;200;30;0.00
11007;29;619;10;0.00
11007;42;70;14;0.00
11008;28;228;70;0.05
11008;34;70;90;0.05
11008;71;108;21;0.00
11009;24;22;12;0.00
11009;36;95;18;0.25
11009;60;170;9;0.00
11010;7;150;20;0.00
11010;24;22;10;0.00
11011;58;66;40;0.05
11011;71;108;20;0.00
11012;19;46;50;0.05
11012;60;170;36;0.05
11012;71;108;60;0.05
11013;23;45;10;0.00
11013;42;70;4;0.00
11013;45;48;20;0.00
11013;68;62;2;0.00
11014;41;48;28;0.10
11015;30;129;15;0.00
11015;77;65;18;0.00
11016;31;62;15;0.00
11016;36;95;16;0.00
11017;3;50;25;0.00
11017;59;275;110;0.00
11017;70;75;30;0.00
11018;12;190;20;0.00
11018;18;312;10;0.00
11018;56;190;5;0.00
11019;46;60;3;0.00
11019;49;100;2;0.00
11020;10;155;24;0.15
11021;2;95;11;0.25
11021;20;405;15;0.00
11021;26;156;63;0.00
11021;51;265;44;0.25
11021;72;174;35;0.00
11022;19;46;35;0.00
11022;69;180;30;0.00
11023;7;150;4;0.00
11023;43;230;30;0.00
11024;26;156;12;0.00
11024;33;12;30;0.00
11024;65;105;21;0.00
11024;71;108;50;0.00
11025;1;90;10;0.10
11025;13;30;20;0.10
11026;18;312;8;0.00
11026;51;265;10;0.00
11027;24;22;30;0.25
11027;62;246;21;0.25
11028;55;120;35;0.00
11028;59;275;24;0.00
11029;56;190;20;0.00
11029;63;220;12;0.00
11030;2;95;100;0.25
11030;5;107;70;0.00
11030;29;619;60;0.25
11030;59;275;100;0.25
11031;1;90;45;0.00
11031;13;30;80;0.00
11031;24;22;21;0.00
11031;64;166;20;0.00
11031;71;108;16;0.00
11032;36;95;35;0.00
11032;38;1318;25;0.00
11032;59;275;30;0.00
11033;53;164;70;0.10
11033;69;180;36;0.10
11034;21;50;15;0.10
11034;44;97;12;0.00
11034;61;142;6;0.00
11035;1;90;10;0.00
11035;35;90;60;0.00
11035;42;70;30;0.00
11035;54;37;10;0.00
11036;13;30;7;0.00
11036;59;275;30;0.00
11037;70;75;4;0.00
11038;40;92;5;0.20
11038;52;35;2;0.00
11038;71;108;30;0.00
11039;28;228;20;0.00
11039;35;90;24;0.00
11039;49;100;60;0.00
11039;57;98;28;0.00
11040;21;50;20;0.00
11041;2;95;30;0.20
11041;63;220;30;0.00
11042;44;97;15;0.00
11042;61;142;4;0.00
11043;11;105;10;0.00
11044;62;246;12;0.00
11045;33;12;15;0.00
11045;51;265;24;0.00
11046;12;190;20;0.05
11046;32;160;15;0.05
11046;35;90;18;0.05
11047;1;90;25;0.25
11047;5;107;30;0.25
11048;68;62;42;0.00
11049;2;95;10;0.20
11049;12;190;4;0.20
11050;76;90;50;0.10
11051;24;22;10;0.20
11052;43;230;30;0.20
11052;61;142;10;0.20
11053;18;312;35;0.20
11053;32;160;20;0.00
11053;64;166;25;0.20
11054;33;12;10;0.00
11054;67;70;20;0.00
11055;24;22;15;0.00
11055;25;70;15;0.00
11055;51;265;20;0.00
11055;57;98;20;0.00
11056;7;150;40;0.00
11056;55;120;35;0.00
11056;60;170;50;0.00
11057;70;75;3;0.00
11058;21;50;3;0.00
11058;60;170;21;0.00
11058;61;142;4;0.00
11059;13;30;30;0.00
11059;17;195;12;0.00
11059;60;170;35;0.00
11060;60;170;4;0.00
11060;77;65;10;0.00
11061;60;170;15;0.00
11062;53;164;10;0.20
11062;70;75;12;0.20
11063;34;70;30;0.00
11063;40;92;40;0.10
11063;41;48;30;0.10
11064;17;195;77;0.10
11064;41;48;12;0.00
11064;53;164;25;0.10
11064;55;120;4;0.10
11064;68;62;55;0.00
11065;30;129;4;0.25
11065;54;37;20;0.25
11066;16;87;3;0.00
11066;19;46;42;0.00
11066;34;70;35;0.00
11067;41;48;9;0.00
11068;28;228;8;0.15
11068;43;230;36;0.15
11068;77;65;28;0.15
11069;39;90;20;0.00
11070;1;90;40;0.15
11070;2;95;20;0.15
11070;16;87;30;0.15
11070;31;62;20;0.00
11071;7;150;15;0.05
11071;13;30;10;0.05
11072;2;95;8;0.00
11072;41;48;40;0.00
11072;50;81;22;0.00
11072;64;166;130;0.00
11073;11;105;10;0.00
11073;24;22;20;0.00
11074;16;87;14;0.05
11075;2;95;10;0.15
11075;46;60;30;0.15
11075;76;90;2;0.15
11076;6;125;20;0.25
11076;14;116;20;0.25
11076;19;46;10;0.25
11077;2;95;24;0.20
11077;3;50;4;0.00
11077;4;110;1;0.00
11077;6;125;1;0.02
11077;7;150;1;0.05
11077;8;200;2;0.10
11077;10;155;1;0.00
11077;12;190;2;0.05
11077;13;30;4;0.00
11077;14;116;1;0.03
11077;16;87;2;0.03
11077;20;405;1;0.04
11077;23;45;2;0.00
11077;32;160;1;0.00
