"NoCom";"CodeCli";"NoEmp";"DateCom";"ALivAvant";"DateEnv";"NoMess";"Port";"Destinataire";"AdrLiv";"VilleLiv";"RegionLiv";"CodepostalLiv";"PaysLiv"
10385;"SPLIR";1;17/1/1995 00:00:00;14/2/1995 00:00:00;23/1/1995 00:00:00;2;155;"Split Rail Beer & Ale";"P.O. Box 555";"Lander";"WY";"82520";"Etats-Unis"
10386;"FAMIA";9;18/1/1995 00:00:00;1/2/1995 00:00:00;25/1/1995 00:00:00;1;70;"Familia Arquibaldo";"Rua Orós, 92";"São Paulo";"SP";"05442-030";"Brésil"
10387;"SANTG";1;18/1/1995 00:00:00;15/2/1995 00:00:00;20/1/1995 00:00:00;2;468;"Santé Gourmet";"Erling Skakkes gate 78";"Stavern";;"4110";"Norvège"
10388;"SEVES";2;19/1/1995 00:00:00;16/2/1995 00:00:00;20/1/1995 00:00:00;1;174;"Seven Seas Imports";"90 Wadhurst Rd.";"London";;"OX15 4NB";"Royaume-Uni"
10389;"BOTTM";4;20/1/1995 00:00:00;17/2/1995 00:00:00;24/1/1995 00:00:00;2;237;"Bottom-Dollar Markets";"23 Tsawassen Blvd.";"Tsawassen";"BC";"T2F 8M4";"Canada"
10390;"ERNSH";6;23/1/1995 00:00:00;20/2/1995 00:00:00;26/1/1995 00:00:00;1;632;"Ernst Handel";"Kirchgasse 6";"Graz";;"8010";"Autriche"
10391;"DRACD";3;23/1/1995 00:00:00;20/2/1995 00:00:00;31/1/1995 00:00:00;1;27;"Drachenblut Delikatessen";"Walserweg 21";"Aachen";;"52066";"Allemagne"
10392;"PICCO";2;24/1/1995 00:00:00;21/2/1995 00:00:00;1/2/1995 00:00:00;1;612;"Piccolo und mehr";"Geislweg 14";"Salzburg";;"5020";"Autriche"
10393;"SAVEA";1;25/1/1995 00:00:00;22/2/1995 00:00:00;3/2/1995 00:00:00;1;633;"Save-a-lot Markets";"187 Suffolk Ln.";"Boise";"ID";"83720";"Etats-Unis"
10394;"HUNGC";1;25/1/1995 00:00:00;22/2/1995 00:00:00;3/2/1995 00:00:00;1;152;"Hungry Coyote Import Store";"City Center Plaza
516 Main St.";"Elgin";"OR";"97827";"Etats-Unis"
10395;"HILAA";6;26/1/1995 00:00:00;23/2/1995 00:00:00;3/2/1995 00:00:00;1;922;"HILARIÓN-Abastos";"Carrera 22 con Ave. Carlos Soublette #8-35";"San Cristóbal";"Táchira";"5022";"Venezuela"
10396;"FRANK";1;27/1/1995 00:00:00;10/2/1995 00:00:00;6/2/1995 00:00:00;1;677;"Frankenversand";"Berliner Platz 43";"München";;"80805";"Allemagne"
10397;"PRINI";5;27/1/1995 00:00:00;24/2/1995 00:00:00;2/2/1995 00:00:00;1;301;"Princesa Isabel Vinhos";"Estrada da saúde n. 58";"Lisboa";;"1756";"Portugal"
10398;"SAVEA";2;30/1/1995 00:00:00;27/2/1995 00:00:00;9/2/1995 00:00:00;1;446;"Save-a-lot Markets";"187 Suffolk Ln.";"Boise";"ID";"83720";"Etats-Unis"
10399;"VAFFE";8;31/1/1995 00:00:00;14/2/1995 00:00:00;8/2/1995 00:00:00;1;137;"Vaffeljernet";"Smagsløget 45";"Århus";;"8200";"Danemark"
10400;"EASTC";1;1/2/1995 00:00:00;1/3/1995 00:00:00;16/2/1995 00:00:00;1;420;"Eastern Connection";"35 King George";"London";;"WX3 6FW";"Royaume-Uni"
10401;"RATTC";1;1/2/1995 00:00:00;1/3/1995 00:00:00;10/2/1995 00:00:00;1;63;"Rattlesnake Canyon Grocery";"2817 Milton Dr.";"Albuquerque";"NM";"87110";"Etats-Unis"
10402;"ERNSH";8;2/2/1995 00:00:00;16/3/1995 00:00:00;10/2/1995 00:00:00;2;339;"Ernst Handel";"Kirchgasse 6";"Graz";;"8010";"Autriche"
10403;"ERNSH";4;3/2/1995 00:00:00;3/3/1995 00:00:00;9/2/1995 00:00:00;1;369;"Ernst Handel";"Kirchgasse 6";"Graz";;"8010";"Autriche"
10404;"MAGAA";2;3/2/1995 00:00:00;3/3/1995 00:00:00;8/2/1995 00:00:00;1;780;"Magazzini Alimentari Riuniti";"Via Ludovico il Moro 22";"Bergamo";;"24100";"Italie"
10405;"LINOD";1;6/2/1995 00:00:00;6/3/1995 00:00:00;22/2/1995 00:00:00;1;174;"LINO-Delicateses";"Ave. 5 de Mayo Porlamar";"I. de Margarita";"Nueva Esparta";"4980";"Venezuela"
10406;"QUEEN";7;7/2/1995 00:00:00;21/3/1995 00:00:00;13/2/1995 00:00:00;1;540;"Queen Cozinha";"Alameda dos Canàrios, 891";"São Paulo";"SP";"05487-020";"Brésil"
10407;"OTTIK";2;7/2/1995 00:00:00;7/3/1995 00:00:00;2/3/1995 00:00:00;2;457;"Ottilies Käseladen";"Mehrheimerstr. 369";"Köln";;"50739";"Allemagne"
10408;"FOLIG";8;8/2/1995 00:00:00;8/3/1995 00:00:00;14/2/1995 00:00:00;1;56;"Folies gourmandes";"184, chaussée de Tournai";"Lille";;"59000";"France"
10409;"OCEAN";3;9/2/1995 00:00:00;9/3/1995 00:00:00;14/2/1995 00:00:00;1;149;"Océano Atlántico Ltda.";"Ing. Gustavo Moncada 8585
Piso 20-A";"Buenos Aires";;"1010";"Argentine"
10410;"BOTTM";3;10/2/1995 00:00:00;10/3/1995 00:00:00;15/2/1995 00:00:00;1;12;"Bottom-Dollar Markets";"23 Tsawassen Blvd.";"Tsawassen";"BC";"T2F 8M4";"Canada"
10411;"BOTTM";9;10/2/1995 00:00:00;10/3/1995 00:00:00;21/2/1995 00:00:00;1;118;"Bottom-Dollar Markets";"23 Tsawassen Blvd.";"Tsawassen";"BC";"T2F 8M4";"Canada"
10412;"WARTH";8;13/2/1995 00:00:00;13/3/1995 00:00:00;15/2/1995 00:00:00;2;19;"Wartian Herkku";"Torikatu 38";"Oulu";;"90110";"Finlande"
10413;"LAMAI";3;14/2/1995 00:00:00;14/3/1995 00:00:00;16/2/1995 00:00:00;2;478;"La maison d'Asie";"1 rue Alsace-Lorraine";"Toulouse";;"31000";"France"
10414;"FAMIA";2;14/2/1995 00:00:00;14/3/1995 00:00:00;17/2/1995 00:00:00;1;107;"Familia Arquibaldo";"Rua Orós, 92";"São Paulo";"SP";"05442-030";"Brésil"
10415;"HUNGC";3;15/2/1995 00:00:00;15/3/1995 00:00:00;24/2/1995 00:00:00;1;1;"Hungry Coyote Import Store";"City Center Plaza
516 Main St.";"Elgin";"OR";"97827";"Etats-Unis"
10416;"WARTH";8;16/2/1995 00:00:00;16/3/1995 00:00:00;27/2/1995 00:00:00;1;114;"Wartian Herkku";"Torikatu 38";"Oulu";;"90110";"Finlande"
10417;"SIMOB";4;16/2/1995 00:00:00;16/3/1995 00:00:00;28/2/1995 00:00:00;1;351;"Simons bistro";"Vinbæltet 34";"København";;"1734";"Danemark"
10418;"QUICK";4;17/2/1995 00:00:00;17/3/1995 00:00:00;24/2/1995 00:00:00;1;88;"QUICK-Stop";"Taucherstraße 10";"Cunewalde";;"01307";"Allemagne"
10419;"RICSU";4;20/2/1995 00:00:00;20/3/1995 00:00:00;2/3/1995 00:00:00;2;687;"Richter Supermarkt";"Starenweg 5";"Genève";;"1204";"Suisse"
10420;"WELLI";3;21/2/1995 00:00:00;21/3/1995 00:00:00;27/2/1995 00:00:00;1;221;"Wellington Importadora";"Rua do Mercado, 12";"Resende";"SP";"08737-363";"Brésil"
10421;"QUEDE";8;21/2/1995 00:00:00;4/4/1995 00:00:00;27/2/1995 00:00:00;1;496;"Que Delícia";"Rua da Panificadora, 12";"Rio de Janeiro";"RJ";"02389-673";"Brésil"
10422;"FRANS";2;22/2/1995 00:00:00;22/3/1995 00:00:00;3/3/1995 00:00:00;1;15;"Franchi S.p.A.";"Via Monte Bianco 34";"Torino";;"10100";"Italie"
10423;"GOURL";6;23/2/1995 00:00:00;9/3/1995 00:00:00;27/3/1995 00:00:00;1;122;"Gourmet Lanchonetes";"Av. Brasil, 442";"Campinas";"SP";"04876-786";"Brésil"
10424;"MEREP";7;23/2/1995 00:00:00;23/3/1995 00:00:00;27/2/1995 00:00:00;2;1853;"Mère Paillarde";"43 rue St. Laurent";"Montréal";"Québec";"H1J 1C3";"Canada"
10425;"LAMAI";6;24/2/1995 00:00:00;24/3/1995 00:00:00;17/3/1995 00:00:00;2;40;"La maison d'Asie";"1 rue Alsace-Lorraine";"Toulouse";;"31000";"France"
10426;"GALED";4;27/2/1995 00:00:00;27/3/1995 00:00:00;9/3/1995 00:00:00;1;93;"Galería del gastronómo";"Rambla de Cataluña, 23";"Barcelona";;"8022";"Espagne"
10427;"PICCO";4;27/2/1995 00:00:00;27/3/1995 00:00:00;3/4/1995 00:00:00;2;156;"Piccolo und mehr";"Geislweg 14";"Salzburg";;"5020";"Autriche"
10428;"REGGC";7;28/2/1995 00:00:00;28/3/1995 00:00:00;7/3/1995 00:00:00;1;55;"Reggiani Caseifici";"Strada Provinciale 124";"Reggio Emilia";;"42100";"Italie"
10429;"HUNGO";3;1/3/1995 00:00:00;12/4/1995 00:00:00;10/3/1995 00:00:00;2;283;"Hungry Owl All-Night Grocers";"8 Johnstown Road";"Cork";"Co. Cork";;"Irlande"
10430;"ERNSH";4;2/3/1995 00:00:00;16/3/1995 00:00:00;6/3/1995 00:00:00;1;2294;"Ernst Handel";"Kirchgasse 6";"Graz";;"8010";"Autriche"
10431;"BOTTM";4;2/3/1995 00:00:00;16/3/1995 00:00:00;10/3/1995 00:00:00;2;221;"Bottom-Dollar Markets";"23 Tsawassen Blvd.";"Tsawassen";"BC";"T2F 8M4";"Canada"
10432;"SPLIR";3;3/3/1995 00:00:00;17/3/1995 00:00:00;10/3/1995 00:00:00;2;22;"Split Rail Beer & Ale";"P.O. Box 555";"Lander";"WY";"82520";"Etats-Unis"
10433;"PRINI";3;6/3/1995 00:00:00;3/4/1995 00:00:00;4/4/1995 00:00:00;1;369;"Princesa Isabel Vinhos";"Estrada da saúde n. 58";"Lisboa";;"1756";"Portugal"
10434;"FOLKO";3;6/3/1995 00:00:00;3/4/1995 00:00:00;16/3/1995 00:00:00;2;90;"Folk och fä HB";"Åkergatan 24";"Bräcke";;"S-844 67";"Suède"
10435;"CONSH";8;7/3/1995 00:00:00;18/4/1995 00:00:00;10/3/1995 00:00:00;2;46;"Consolidated Holdings";"Berkeley Gardens
12  Brewery ";"London";;"WX1 6LT";"Royaume-Uni"
10436;"BLONP";3;8/3/1995 00:00:00;5/4/1995 00:00:00;14/3/1995 00:00:00;2;783;"Blondel père et fils";"24, place Kléber";"Strasbourg";;"67000";"France"
10437;"WARTH";8;8/3/1995 00:00:00;5/4/1995 00:00:00;15/3/1995 00:00:00;1;100;"Wartian Herkku";"Torikatu 38";"Oulu";;"90110";"Finlande"
10438;"TOMSP";3;9/3/1995 00:00:00;6/4/1995 00:00:00;17/3/1995 00:00:00;2;41;"Toms Spezialitäten";"Luisenstr. 48";"Münster";;"44087";"Allemagne"
10439;"MEREP";6;10/3/1995 00:00:00;7/4/1995 00:00:00;13/3/1995 00:00:00;1;20;"Mère Paillarde";"43 rue St. Laurent";"Montréal";"Québec";"H1J 1C3";"Canada"
10440;"SAVEA";4;13/3/1995 00:00:00;10/4/1995 00:00:00;31/3/1995 00:00:00;2;433;"Save-a-lot Markets";"187 Suffolk Ln.";"Boise";"ID";"83720";"Etats-Unis"
10441;"OLDWO";3;13/3/1995 00:00:00;24/4/1995 00:00:00;14/4/1995 00:00:00;2;365;"Old World Delicatessen";"2743 Bering St.";"Anchorage";"AK";"99508";"Etats-Unis"
10442;"ERNSH";3;14/3/1995 00:00:00;11/4/1995 00:00:00;21/3/1995 00:00:00;2;240;"Ernst Handel";"Kirchgasse 6";"Graz";;"8010";"Autriche"
10443;"REGGC";8;15/3/1995 00:00:00;12/4/1995 00:00:00;17/3/1995 00:00:00;1;70;"Reggiani Caseifici";"Strada Provinciale 124";"Reggio Emilia";;"42100";"Italie"
10444;"BERGS";3;15/3/1995 00:00:00;12/4/1995 00:00:00;24/3/1995 00:00:00;1;18;"Berglunds snabbköp";"Berguvsvägen  8";"Luleå";;"S-958 22";"Suède"
10445;"BERGS";3;16/3/1995 00:00:00;13/4/1995 00:00:00;23/3/1995 00:00:00;1;46;"Berglunds snabbköp";"Berguvsvägen  8";"Luleå";;"S-958 22";"Suède"
10446;"TOMSP";6;17/3/1995 00:00:00;14/4/1995 00:00:00;22/3/1995 00:00:00;1;73;"Toms Spezialitäten";"Luisenstr. 48";"Münster";;"44087";"Allemagne"
10447;"RICAR";4;17/3/1995 00:00:00;14/4/1995 00:00:00;7/4/1995 00:00:00;2;343;"Ricardo Adocicados";"Av. Copacabana, 267";"Rio de Janeiro";"RJ";"02389-890";"Brésil"
10448;"RANCH";4;20/3/1995 00:00:00;17/4/1995 00:00:00;27/3/1995 00:00:00;2;194;"Rancho grande";"Av. del Libertador 900";"Buenos Aires";;"1010";"Argentine"
10449;"BLONP";3;21/3/1995 00:00:00;18/4/1995 00:00:00;30/3/1995 00:00:00;2;266;"Blondel père et fils";"24, place Kléber";"Strasbourg";;"67000";"France"
10450;"VICTE";8;22/3/1995 00:00:00;19/4/1995 00:00:00;11/4/1995 00:00:00;2;36;"Victuailles en stock";"2, rue du Commerce";"Lyon";;"69004";"France"
10451;"QUICK";4;22/3/1995 00:00:00;5/4/1995 00:00:00;12/4/1995 00:00:00;1;945;"QUICK-Stop";"Taucherstraße 10";"Cunewalde";;"01307";"Allemagne"
10452;"SAVEA";8;23/3/1995 00:00:00;20/4/1995 00:00:00;29/3/1995 00:00:00;1;701;"Save-a-lot Markets";"187 Suffolk Ln.";"Boise";"ID";"83720";"Etats-Unis"
10453;"AROUT";1;24/3/1995 00:00:00;21/4/1995 00:00:00;29/3/1995 00:00:00;2;127;"Around the Horn";"Brook Farm
Stratford St. Mary";"Colchester";"Essex";"CO7 6JX";"Royaume-Uni"
10454;"LAMAI";4;24/3/1995 00:00:00;21/4/1995 00:00:00;28/3/1995 00:00:00;1;14;"La maison d'Asie";"1 rue Alsace-Lorraine";"Toulouse";;"31000";"France"
10455;"WARTH";8;27/3/1995 00:00:00;8/5/1995 00:00:00;3/4/1995 00:00:00;2;902;"Wartian Herkku";"Torikatu 38";"Oulu";;"90110";"Finlande"
10456;"KOENE";8;28/3/1995 00:00:00;9/5/1995 00:00:00;31/3/1995 00:00:00;2;41;"Königlich Essen";"Maubelstr. 90";"Brandenburg";;"14776";"Allemagne"
10457;"KOENE";2;28/3/1995 00:00:00;25/4/1995 00:00:00;3/4/1995 00:00:00;1;58;"Königlich Essen";"Maubelstr. 90";"Brandenburg";;"14776";"Allemagne"
10458;"SUPRD";7;29/3/1995 00:00:00;26/4/1995 00:00:00;4/4/1995 00:00:00;1;735;"Suprêmes délices";"Boulevard Tirou, 255";"Charleroi";;"B-6000";"Belgique"
10459;"VICTE";4;30/3/1995 00:00:00;27/4/1995 00:00:00;31/3/1995 00:00:00;2;125;"Victuailles en stock";"2, rue du Commerce";"Lyon";;"69004";"France"
10460;"FOLKO";8;31/3/1995 00:00:00;28/4/1995 00:00:00;3/4/1995 00:00:00;1;81;"Folk och fä HB";"Åkergatan 24";"Bräcke";;"S-844 67";"Suède"
10461;"LILAS";1;31/3/1995 00:00:00;28/4/1995 00:00:00;5/4/1995 00:00:00;1;743;"LILA-Supermercado";"Carrera 52 con Ave. Bolívar #65-98 Llano Largo";"Barquisimeto";"Lara";"3508";"Venezuela"
10462;"CONSH";2;3/4/1995 00:00:00;1/5/1995 00:00:00;18/4/1995 00:00:00;1;31;"Consolidated Holdings";"Berkeley Gardens
12  Brewery ";"London";;"WX1 6LT";"Royaume-Uni"
10463;"SUPRD";5;4/4/1995 00:00:00;2/5/1995 00:00:00;6/4/1995 00:00:00;1;74;"Suprêmes délices";"Boulevard Tirou, 255";"Charleroi";;"B-6000";"Belgique"
10464;"FURIB";4;4/4/1995 00:00:00;2/5/1995 00:00:00;14/4/1995 00:00:00;2;445;"Furia Bacalhau e Frutos do Mar";"Jardim das rosas n. 32";"Lisboa";;"1675";"Portugal"
10465;"VAFFE";1;5/4/1995 00:00:00;3/5/1995 00:00:00;14/4/1995 00:00:00;1;725;"Vaffeljernet";"Smagsløget 45";"Århus";;"8200";"Danemark"
10466;"COMMI";4;6/4/1995 00:00:00;4/5/1995 00:00:00;13/4/1995 00:00:00;1;60;"Comércio Mineiro";"Av. dos Lusíadas, 23";"São Paulo";"SP";"05432-043";"Brésil"
10467;"MAGAA";8;6/4/1995 00:00:00;4/5/1995 00:00:00;11/4/1995 00:00:00;2;25;"Magazzini Alimentari Riuniti";"Via Ludovico il Moro 22";"Bergamo";;"24100";"Italie"
10468;"KOENE";3;7/4/1995 00:00:00;5/5/1995 00:00:00;12/4/1995 00:00:00;1;221;"Königlich Essen";"Maubelstr. 90";"Brandenburg";;"14776";"Allemagne"
10469;"WHITC";1;10/4/1995 00:00:00;8/5/1995 00:00:00;14/4/1995 00:00:00;1;301;"White Clover Markets";"1029 - 12th Ave. S.";"Seattle";"WA";"98124";"Etats-Unis"
10470;"BONAP";4;11/4/1995 00:00:00;9/5/1995 00:00:00;14/4/1995 00:00:00;2;323;"Bon app'";"12, rue des Bouchers";"Marseille";;"13008";"France"
10471;"BSBEV";2;11/4/1995 00:00:00;9/5/1995 00:00:00;18/4/1995 00:00:00;1;228;"B's Beverages";"Fauntleroy Circus";"London";;"EC2 5NT";"Royaume-Uni"
10472;"SEVES";8;12/4/1995 00:00:00;10/5/1995 00:00:00;19/4/1995 00:00:00;1;21;"Seven Seas Imports";"90 Wadhurst Rd.";"London";;"OX15 4NB";"Royaume-Uni"
10473;"ISLAT";1;13/4/1995 00:00:00;27/4/1995 00:00:00;21/4/1995 00:00:00;1;82;"Island Trading";"Garden House
Crowther Way";"Cowes";"Isle of Wigth";"PO31 7PJ";"Royaume-Uni"
10474;"PERIC";5;13/4/1995 00:00:00;11/5/1995 00:00:00;21/4/1995 00:00:00;2;417;"Pericles Comidas clásicas";"Calle Dr. Jorge Cash 321";"México D.F.";;"05033";"Mexique"
10475;"SUPRD";9;14/4/1995 00:00:00;12/5/1995 00:00:00;5/5/1995 00:00:00;1;343;"Suprêmes délices";"Boulevard Tirou, 255";"Charleroi";;"B-6000";"Belgique"
10476;"HILAA";8;17/4/1995 00:00:00;15/5/1995 00:00:00;24/4/1995 00:00:00;1;22;"HILARIÓN-Abastos";"Carrera 22 con Ave. Carlos Soublette #8-35";"San Cristóbal";"Táchira";"5022";"Venezuela"
10477;"PRINI";5;17/4/1995 00:00:00;15/5/1995 00:00:00;25/4/1995 00:00:00;2;65;"Princesa Isabel Vinhos";"Estrada da saúde n. 58";"Lisboa";;"1756";"Portugal"
10478;"VICTE";2;18/4/1995 00:00:00;2/5/1995 00:00:00;26/4/1995 00:00:00;1;24;"Victuailles en stock";"2, rue du Commerce";"Lyon";;"69004";"France"
10479;"RATTC";3;19/4/1995 00:00:00;17/5/1995 00:00:00;21/4/1995 00:00:00;1;3545;"Rattlesnake Canyon Grocery";"2817 Milton Dr.";"Albuquerque";"NM";"87110";"Etats-Unis"
10480;"FOLIG";6;20/4/1995 00:00:00;18/5/1995 00:00:00;24/4/1995 00:00:00;2;7;"Folies gourmandes";"184, chaussée de Tournai";"Lille";;"59000";"France"
10481;"RICAR";8;20/4/1995 00:00:00;18/5/1995 00:00:00;25/4/1995 00:00:00;2;322;"Ricardo Adocicados";"Av. Copacabana, 267";"Rio de Janeiro";"RJ";"02389-890";"Brésil"
10482;"LAZYK";1;21/4/1995 00:00:00;19/5/1995 00:00:00;11/5/1995 00:00:00;1;37;"Lazy K Kountry Store";"12 Orchestra Terrace";"Walla Walla";"WA";"99362";"Etats-Unis"
10483;"WHITC";7;24/4/1995 00:00:00;22/5/1995 00:00:00;26/5/1995 00:00:00;2;76;"White Clover Markets";"1029 - 12th Ave. S.";"Seattle";"WA";"98124";"Etats-Unis"
10484;"BSBEV";3;24/4/1995 00:00:00;22/5/1995 00:00:00;2/5/1995 00:00:00;1;34;"B's Beverages";"Fauntleroy Circus";"London";;"EC2 5NT";"Royaume-Uni"
10485;"LINOD";4;25/4/1995 00:00:00;9/5/1995 00:00:00;1/5/1995 00:00:00;2;322;"LINO-Delicateses";"Ave. 5 de Mayo Porlamar";"I. de Margarita";"Nueva Esparta";"4980";"Venezuela"
10486;"HILAA";1;26/4/1995 00:00:00;24/5/1995 00:00:00;3/5/1995 00:00:00;2;153;"HILARIÓN-Abastos";"Carrera 22 con Ave. Carlos Soublette #8-35";"San Cristóbal";"Táchira";"5022";"Venezuela"
10487;"QUEEN";2;26/4/1995 00:00:00;24/5/1995 00:00:00;28/4/1995 00:00:00;2;355;"Queen Cozinha";"Alameda dos Canàrios, 891";"São Paulo";"SP";"05487-020";"Brésil"
10488;"FRANK";8;27/4/1995 00:00:00;25/5/1995 00:00:00;3/5/1995 00:00:00;2;25;"Frankenversand";"Berliner Platz 43";"München";;"80805";"Allemagne"
10489;"PICCO";6;28/4/1995 00:00:00;26/5/1995 00:00:00;10/5/1995 00:00:00;2;26;"Piccolo und mehr";"Geislweg 14";"Salzburg";;"5020";"Autriche"
10490;"HILAA";7;1/5/1995 00:00:00;29/5/1995 00:00:00;4/5/1995 00:00:00;2;1051;"HILARIÓN-Abastos";"Carrera 22 con Ave. Carlos Soublette #8-35";"San Cristóbal";"Táchira";"5022";"Venezuela"
10491;"FURIB";8;1/5/1995 00:00:00;29/5/1995 00:00:00;9/5/1995 00:00:00;1;85;"Furia Bacalhau e Frutos do Mar";"Jardim das rosas n. 32";"Lisboa";;"1675";"Portugal"
10492;"BOTTM";3;2/5/1995 00:00:00;30/5/1995 00:00:00;12/5/1995 00:00:00;1;314;"Bottom-Dollar Markets";"23 Tsawassen Blvd.";"Tsawassen";"BC";"T2F 8M4";"Canada"
10493;"LAMAI";4;3/5/1995 00:00:00;31/5/1995 00:00:00;11/5/1995 00:00:00;1;53;"La maison d'Asie";"1 rue Alsace-Lorraine";"Toulouse";;"31000";"France"
10494;"COMMI";4;3/5/1995 00:00:00;31/5/1995 00:00:00;10/5/1995 00:00:00;2;330;"Comércio Mineiro";"Av. dos Lusíadas, 23";"São Paulo";"SP";"05432-043";"Brésil"
10495;"LAUGB";3;4/5/1995 00:00:00;1/6/1995 00:00:00;12/5/1995 00:00:00;1;23;"Laughing Bacchus Wine Cellars";"2319 Elm St.";"Vancouver";"BC";"V3F 2K1";"Canada"
10496;"TRADH";7;5/5/1995 00:00:00;2/6/1995 00:00:00;8/5/1995 00:00:00;2;234;"Tradição Hipermercados";"Av. Inês de Castro, 414";"São Paulo";"SP";"05634-030";"Brésil"
10497;"LEHMS";7;5/5/1995 00:00:00;2/6/1995 00:00:00;8/5/1995 00:00:00;1;181;"Lehmanns Marktstand";"Magazinweg 7";"Frankfurt a.M. ";;"60528";"Allemagne"
10498;"HILAA";8;8/5/1995 00:00:00;5/6/1995 00:00:00;12/5/1995 00:00:00;2;149;"HILARIÓN-Abastos";"Carrera 22 con Ave. Carlos Soublette #8-35";"San Cristóbal";"Táchira";"5022";"Venezuela"
10499;"LILAS";4;9/5/1995 00:00:00;6/6/1995 00:00:00;17/5/1995 00:00:00;2;510;"LILA-Supermercado";"Carrera 52 con Ave. Bolívar #65-98 Llano Largo";"Barquisimeto";"Lara";"3508";"Venezuela"
10500;"LAMAI";6;10/5/1995 00:00:00;7/6/1995 00:00:00;18/5/1995 00:00:00;1;213;"La maison d'Asie";"1 rue Alsace-Lorraine";"Toulouse";;"31000";"France"
10501;"BLAUS";9;10/5/1995 00:00:00;7/6/1995 00:00:00;17/5/1995 00:00:00;1;44;"Blauer See Delikatessen";"Forsterstr. 57";"Mannheim";;"68306";"Allemagne"
10502;"PERIC";2;11/5/1995 00:00:00;8/6/1995 00:00:00;30/5/1995 00:00:00;1;347;"Pericles Comidas clásicas";"Calle Dr. Jorge Cash 321";"México D.F.";;"05033";"Mexique"
10503;"HUNGO";6;12/5/1995 00:00:00;9/6/1995 00:00:00;17/5/1995 00:00:00;2;84;"Hungry Owl All-Night Grocers";"8 Johnstown Road";"Cork";"Co. Cork";;"Irlande"
10504;"WHITC";4;12/5/1995 00:00:00;9/6/1995 00:00:00;19/5/1995 00:00:00;1;296;"White Clover Markets";"1029 - 12th Ave. S.";"Seattle";"WA";"98124";"Etats-Unis"
10505;"MEREP";3;15/5/1995 00:00:00;12/6/1995 00:00:00;22/5/1995 00:00:00;1;36;"Mère Paillarde";"43 rue St. Laurent";"Montréal";"Québec";"H1J 1C3";"Canada"
10506;"KOENE";9;16/5/1995 00:00:00;13/6/1995 00:00:00;2/6/1995 00:00:00;2;106;"Königlich Essen";"Maubelstr. 90";"Brandenburg";;"14776";"Allemagne"
10507;"ANTON";7;16/5/1995 00:00:00;13/6/1995 00:00:00;23/5/1995 00:00:00;1;237;"Antonio Moreno Taquería";"Mataderos  2312";"México D.F.";;"05023";"Mexique"
10508;"OTTIK";1;17/5/1995 00:00:00;14/6/1995 00:00:00;13/6/1995 00:00:00;2;25;"Ottilies Käseladen";"Mehrheimerstr. 369";"Köln";;"50739";"Allemagne"
10509;"BLAUS";4;18/5/1995 00:00:00;15/6/1995 00:00:00;30/5/1995 00:00:00;1;1;"Blauer See Delikatessen";"Forsterstr. 57";"Mannheim";;"68306";"Allemagne"
10510;"SAVEA";6;19/5/1995 00:00:00;16/6/1995 00:00:00;29/5/1995 00:00:00;1;1838;"Save-a-lot Markets";"187 Suffolk Ln.";"Boise";"ID";"83720";"Etats-Unis"
10511;"BONAP";4;19/5/1995 00:00:00;16/6/1995 00:00:00;22/5/1995 00:00:00;1;1753;"Bon app'";"12, rue des Bouchers";"Marseille";;"13008";"France"
10512;"FAMIA";7;22/5/1995 00:00:00;19/6/1995 00:00:00;25/5/1995 00:00:00;2;18;"Familia Arquibaldo";"Rua Orós, 92";"São Paulo";"SP";"05442-030";"Brésil"
10513;"WANDK";7;23/5/1995 00:00:00;4/7/1995 00:00:00;29/5/1995 00:00:00;1;528;"Die Wandernde Kuh";"Adenauerallee 900";"Stuttgart";;"70563";"Allemagne"
10514;"ERNSH";3;23/5/1995 00:00:00;20/6/1995 00:00:00;16/6/1995 00:00:00;2;3950;"Ernst Handel";"Kirchgasse 6";"Graz";;"8010";"Autriche"
10515;"QUICK";2;24/5/1995 00:00:00;7/6/1995 00:00:00;23/6/1995 00:00:00;1;1022;"QUICK-Stop";"Taucherstraße 10";"Cunewalde";;"01307";"Allemagne"
10516;"HUNGO";2;25/5/1995 00:00:00;22/6/1995 00:00:00;1/6/1995 00:00:00;1;314;"Hungry Owl All-Night Grocers";"8 Johnstown Road";"Cork";"Co. Cork";;"Irlande"
10517;"NORTS";3;25/5/1995 00:00:00;22/6/1995 00:00:00;30/5/1995 00:00:00;1;160;"North/South";"South House
300 Queensbridge";"London";;"SW7 1RZ";"Royaume-Uni"
10518;"TORTU";4;26/5/1995 00:00:00;9/6/1995 00:00:00;5/6/1995 00:00:00;2;1091;"Tortuga Restaurante";"Avda. Azteca 123";"México D.F.";;"05033";"Mexique"
10519;"CHOPS";6;29/5/1995 00:00:00;26/6/1995 00:00:00;1/6/1995 00:00:00;1;459;"Chop-suey Chinese";"Hauptstr. 31";"Bern";;"3012";"Suisse"
10520;"SANTG";7;30/5/1995 00:00:00;27/6/1995 00:00:00;1/6/1995 00:00:00;1;67;"Santé Gourmet";"Erling Skakkes gate 78";"Stavern";;"4110";"Norvège"
10521;"CACTU";8;30/5/1995 00:00:00;27/6/1995 00:00:00;2/6/1995 00:00:00;2;86;"Cactus Comidas para llevar";"Cerrito 333";"Buenos Aires";;"1010";"Argentine"
