ptt dej;gouter;soiree;apres dejeuner;apres diner;tt moment;maison;travail;salon de t;amis;resto;bar;variete;comment;sucre;forme;lieuachat;type;sexe;CSP;Sport;age;age_Q;frequence;evasion-exotisme;spiritualite;bon pr la sante;diuretique;convivialite;absorption fer;feminin;raffine;amaigrissant;excitant;relaxant;ss effet sante
ptt dej;Pas.gouter;soiree;Pas.apres dej;Pas.apres diner;Pas.tt moment;maison;Pas.travail;Pas.salon de t;amis;Pas.resto;Pas.bar;parfume;lait;sucre;sachet+vrac;GMS+mag.spe.;t_variable;H;autre actif;sportif;32;25-34;+ de 2/jour;Pas.evasion-exotisme;Pas.spiritualite;bon pr la sante;diuretique;convivialite;Pas.absorption fer;Pas.feminin;Pas.raffine;Pas.amaigrissant;excitant;Pas.relaxant;Pas.ss effet sante
Pas.ptt dej;gouter;Pas.soiree;apres dej;Pas.apres diner;Pas.tt moment;maison;Pas.travail;salon de t;amis;Pas.resto;Pas.bar;vert;citron;sucre;sachet+vrac;GMS+mag.spe.;t_variable;F;cadre sup;Pas.sportif;60;60 et +;3 à 6/sem;Pas.evasion-exotisme;Pas.spiritualite;bon pr la sante;diuretique;convivialite;Pas.absorption fer;feminin;raffine;Pas.amaigrissant;excitant;Pas.relaxant;Pas.ss effet sante
ptt dej;gouter;Pas.soiree;apres dej;Pas.apres diner;Pas.tt moment;maison;Pas.travail;Pas.salon de t;amis;resto;bar;noir;pur;Pas.sucre;sachet+vrac;GMS;t_marque_connue;F;non actif;sportif;66;60 et +;+ de 2/jour;Pas.evasion-exotisme;Pas.spiritualite;bon pr la sante;diuretique;convivialite;Pas.absorption fer;Pas.feminin;Pas.raffine;Pas.amaigrissant;excitant;relaxant;Pas.ss effet sante
ptt dej;gouter;Pas.soiree;apres dej;Pas.apres diner;Pas.tt moment;maison;travail;salon de t;amis;resto;Pas.bar;parfume;pur;Pas.sucre;sachet+vrac;GMS+mag.spe.;t_variable;F;cadre sup;sportif;49;45-59;3 à 6/sem;evasion-exotisme;Pas.spiritualite;Pas.bon pr la sante;diuretique;Pas.convivialite;Pas.absorption fer;Pas.feminin;raffine;Pas.amaigrissant;Pas.excitant;Pas.relaxant;Pas.ss effet sante
ptt dej;gouter;soiree;apres dej;Pas.apres diner;tt moment;maison;travail;Pas.salon de t;amis;Pas.resto;Pas.bar;parfume;pur;Pas.sucre;vrac;magasin specialise;t_marque_connue;F;etudiant;Pas.sportif;28;25-34;+ de 2/jour;Pas.evasion-exotisme;Pas.spiritualite;bon pr la sante;diuretique;convivialite;Pas.absorption fer;feminin;raffine;Pas.amaigrissant;Pas.excitant;relaxant;Pas.ss effet sante
ptt dej;Pas.gouter;Pas.soiree;Pas.apres dej;Pas.apres diner;Pas.tt moment;maison;Pas.travail;Pas.salon de t;Pas.amis;Pas.resto;Pas.bar;parfume;pur;Pas.sucre;sachet;GMS;t_variable;F;non actif;Pas.sportif;22;15-24;1/jour;evasion-exotisme;spiritualite;bon pr la sante;diuretique;convivialite;Pas.absorption fer;feminin;raffine;amaigrissant;excitant;Pas.relaxant;Pas.ss effet sante
Pas.ptt dej;Pas.gouter;Pas.soiree;Pas.apres dej;Pas.apres diner;tt moment;maison;travail;Pas.salon de t;amis;resto;bar;noir;pur;Pas.sucre;sachet;GMS+mag.spe.;t_variable;F;cadre moyen;Pas.sportif;35;35-44;+ de 2/jour;Pas.evasion-exotisme;Pas.spiritualite;bon pr la sante;diuretique;convivialite;absorption fer;feminin;raffine;Pas.amaigrissant;Pas.excitant;Pas.relaxant;Pas.ss effet sante
Pas.ptt dej;Pas.gouter;soiree;Pas.apres dej;Pas.apres diner;Pas.tt moment;maison;travail;Pas.salon de t;amis;Pas.resto;Pas.bar;parfume;pur;sucre;sachet+vrac;GMS;t_variable;F;employe;sportif;25;25-34;1 à 2/sem;Pas.evasion-exotisme;spiritualite;bon pr la sante;diuretique;convivialite;Pas.absorption fer;Pas.feminin;raffine;Pas.amaigrissant;excitant;relaxant;Pas.ss effet sante
Pas.ptt dej;gouter;soiree;Pas.apres dej;apres diner;Pas.tt moment;maison;Pas.travail;salon de t;amis;resto;Pas.bar;noir;autre;Pas.sucre;sachet+vrac;GMS+mag.spe.;t_haut_de_gamme;F;non actif;sportif;62;60 et +;1/jour;evasion-exotisme;spiritualite;bon pr la sante;diuretique;convivialite;absorption fer;feminin;raffine;Pas.amaigrissant;excitant;relaxant;Pas.ss effet sante
ptt dej;gouter;Pas.soiree;Pas.apres dej;Pas.apres diner;tt moment;maison;Pas.travail;salon de t;amis;resto;bar;parfume;pur;Pas.sucre;sachet+vrac;GMS+mag.spe.;t_variable;F;non actif;Pas.sportif;57;45-59;+ de 2/jour;Pas.evasion-exotisme;Pas.spiritualite;bon pr la sante;diuretique;convivialite;Pas.absorption fer;feminin;raffine;Pas.amaigrissant;Pas.excitant;Pas.relaxant;Pas.ss effet sante
Pas.ptt dej;Pas.gouter;soiree;apres dej;Pas.apres diner;Pas.tt moment;maison;travail;Pas.salon de t;amis;Pas.resto;bar;parfume;citron;sucre;sachet+vrac;GMS+mag.spe.;t_variable;F;etudiant;sportif;20;15-24;3 à 6/sem;Pas.evasion-exotisme;Pas.spiritualite;bon pr la sante;diuretique;convivialite;Pas.absorption fer;feminin;raffine;Pas.amaigrissant;excitant;relaxant;Pas.ss effet sante
ptt dej;gouter;Pas.soiree;apres dej;Pas.apres diner;Pas.tt moment;maison;travail;Pas.salon de t;amis;Pas.resto;bar;parfume;citron;Pas.sucre;sachet;GMS;t_variable;F;etudiant;sportif;22;15-24;1/jour;evasion-exotisme;spiritualite;Pas.bon pr la sante;diuretique;convivialite;Pas.absorption fer;feminin;Pas.raffine;Pas.amaigrissant;Pas.excitant;relaxant;ss effet sante
Pas.ptt dej;gouter;Pas.soiree;Pas.apres dej;Pas.apres diner;Pas.tt moment;maison;Pas.travail;Pas.salon de t;Pas.amis;Pas.resto;bar;parfume;pur;sucre;sachet;GMS;t_marque_connue;F;employe;sportif;36;35-44;1/jour;evasion-exotisme;Pas.spiritualite;Pas.bon pr la sante;Pas.diuretique;convivialite;absorption fer;feminin;raffine;Pas.amaigrissant;Pas.excitant;relaxant;Pas.ss effet sante
Pas.ptt dej;gouter;Pas.soiree;Pas.apres dej;Pas.apres diner;Pas.tt moment;maison;travail;Pas.salon de t;amis;Pas.resto;Pas.bar;parfume;pur;sucre;sachet;GMS;t_variable;H;etudiant;Pas.sportif;19;15-24;1 à 2/sem;Pas.evasion-exotisme;spiritualite;Pas.bon pr la sante;Pas.diuretique;Pas.convivialite;Pas.absorption fer;Pas.feminin;raffine;Pas.amaigrissant;Pas.excitant;relaxant;Pas.ss effet sante
ptt dej;gouter;soiree;apres dej;Pas.apres diner;tt moment;maison;Pas.travail;Pas.salon de t;amis;Pas.resto;Pas.bar;parfume;lait;sucre;sachet+vrac;GMS+mag.spe.;t_variable;H;employe;sportif;24;15-24;+ de 2/jour;evasion-exotisme;spiritualite;bon pr la sante;diuretique;convivialite;Pas.absorption fer;Pas.feminin;raffine;Pas.amaigrissant;excitant;relaxant;Pas.ss effet sante
Pas.ptt dej;Pas.gouter;soiree;apres dej;Pas.apres diner;tt moment;maison;Pas.travail;Pas.salon de t;amis;Pas.resto;Pas.bar;parfume;lait;sucre;sachet;GMS;t_variable;H;etudiant;sportif;22;15-24;1 à 2/sem;evasion-exotisme;spiritualite;bon pr la sante;diuretique;convivialite;Pas.absorption fer;feminin;Pas.raffine;Pas.amaigrissant;Pas.excitant;relaxant;Pas.ss effet sante
Pas.ptt dej;Pas.gouter;soiree;Pas.apres dej;Pas.apres diner;Pas.tt moment;maison;Pas.travail;Pas.salon de t;amis;Pas.resto;Pas.bar;parfume;citron;sucre;vrac;magasin specialise;t_haut_de_gamme;H;cadre moyen;sportif;28;25-34;1/jour;Pas.evasion-exotisme;spiritualite;Pas.bon pr la sante;diuretique;convivialite;Pas.absorption fer;feminin;raffine;Pas.amaigrissant;excitant;Pas.relaxant;Pas.ss effet sante
ptt dej;gouter;soiree;apres dej;Pas.apres diner;tt moment;maison;travail;salon de t;amis;resto;bar;noir;lait;sucre;sachet;GMS;t_MDD;H;etudiant;sportif;18;15-24;+ de 2/jour;Pas.evasion-exotisme;Pas.spiritualite;bon pr la sante;Pas.diuretique;Pas.convivialite;Pas.absorption fer;Pas.feminin;Pas.raffine;Pas.amaigrissant;Pas.excitant;relaxant;Pas.ss effet sante
ptt dej;Pas.gouter;Pas.soiree;Pas.apres dej;Pas.apres diner;Pas.tt moment;maison;Pas.travail;Pas.salon de t;Pas.amis;Pas.resto;Pas.bar;parfume;lait;sucre;sachet;GMS;t_marque_connue;F;cadre moyen;sportif;34;25-34;1/jour;evasion-exotisme;Pas.spiritualite;Pas.bon pr la sante;Pas.diuretique;Pas.convivialite;Pas.absorption fer;Pas.feminin;Pas.raffine;Pas.amaigrissant;Pas.excitant;Pas.relaxant;ss effet sante
Pas.ptt dej;gouter;Pas.soiree;Pas.apres dej;Pas.apres diner;Pas.tt moment;maison;travail;Pas.salon de t;amis;Pas.resto;Pas.bar;parfume;pur;Pas.sucre;sachet;GMS;t_marque_connue;F;employe;sportif;51;45-59;1/jour;Pas.evasion-exotisme;Pas.spiritualite;Pas.bon pr la sante;Pas.diuretique;convivialite;Pas.absorption fer;Pas.feminin;raffine;Pas.amaigrissant;Pas.excitant;Pas.relaxant;ss effet sante
ptt dej;gouter;Pas.soiree;apres dej;Pas.apres diner;Pas.tt moment;maison;Pas.travail;Pas.salon de t;amis;Pas.resto;Pas.bar;parfume;lait;Pas.sucre;sachet+vrac;GMS;t_marque_connue;F;employe;sportif;55;45-59;+ de 2/jour;evasion-exotisme;Pas.spiritualite;bon pr la sante;diuretique;convivialite;Pas.absorption fer;Pas.feminin;raffine;amaigrissant;excitant;Pas.relaxant;Pas.ss effet sante
Pas.ptt dej;gouter;Pas.soiree;apres dej;Pas.apres diner;Pas.tt moment;Pas.maison;Pas.travail;Pas.salon de t;amis;Pas.resto;Pas.bar;parfume;pur;sucre;sachet;magasin specialise;t_variable;F;non actif;sportif;76;60 et +;1/jour;Pas.evasion-exotisme;Pas.spiritualite;bon pr la sante;Pas.diuretique;convivialite;Pas.absorption fer;Pas.feminin;raffine;Pas.amaigrissant;excitant;Pas.relaxant;Pas.ss effet sante
ptt dej;gouter;Pas.soiree;Pas.apres dej;Pas.apres diner;Pas.tt moment;maison;Pas.travail;Pas.salon de t;amis;resto;bar;parfume;pur;Pas.sucre;sachet+vrac;GMS;t_marque_connue;F;etudiant;sportif;22;15-24;1/jour;Pas.evasion-exotisme;Pas.spiritualite;bon pr la sante;diuretique;Pas.convivialite;Pas.absorption fer;Pas.feminin;Pas.raffine;Pas.amaigrissant;Pas.excitant;relaxant;Pas.ss effet sante
Pas.ptt dej;Pas.gouter;Pas.soiree;Pas.apres dej;Pas.apres diner;tt moment;maison;Pas.travail;Pas.salon de t;Pas.amis;Pas.resto;Pas.bar;noir;pur;Pas.sucre;sachet;GMS;t_haut_de_gamme;F;cadre moyen;sportif;50;45-59;+ de 2/jour;evasion-exotisme;Pas.spiritualite;bon pr la sante;diuretique;convivialite;Pas.absorption fer;feminin;raffine;amaigrissant;excitant;relaxant;Pas.ss effet sante
Pas.ptt dej;gouter;soiree;Pas.apres dej;Pas.apres diner;Pas.tt moment;Pas.maison;Pas.travail;salon de t;Pas.amis;resto;Pas.bar;parfume;pur;sucre;vrac;GMS;t_MDD;F;etudiant;sportif;25;25-34;1 à 2/sem;Pas.evasion-exotisme;Pas.spiritualite;Pas.bon pr la sante;diuretique;convivialite;absorption fer;Pas.feminin;raffine;Pas.amaigrissant;excitant;relaxant;Pas.ss effet sante
Pas.ptt dej;Pas.gouter;Pas.soiree;Pas.apres dej;Pas.apres diner;tt moment;maison;travail;Pas.salon de t;Pas.amis;Pas.resto;Pas.bar;parfume;lait;sucre;sachet;GMS+mag.spe.;t_haut_de_gamme;F;autre actif;sportif;44;35-44;1/jour;Pas.evasion-exotisme;Pas.spiritualite;bon pr la sante;Pas.diuretique;convivialite;Pas.absorption fer;Pas.feminin;Pas.raffine;Pas.amaigrissant;Pas.excitant;Pas.relaxant;Pas.ss effet sante
Pas.ptt dej;gouter;Pas.soiree;apres dej;Pas.apres diner;Pas.tt moment;maison;Pas.travail;Pas.salon de t;amis;Pas.resto;Pas.bar;parfume;pur;Pas.sucre;sachet;GMS;t_variable;F;etudiant;Pas.sportif;19;15-24;3 à 6/sem;Pas.evasion-exotisme;Pas.spiritualite;Pas.bon pr la sante;diuretique;convivialite;absorption fer;Pas.feminin;Pas.raffine;Pas.amaigrissant;excitant;Pas.relaxant;Pas.ss effet sante
ptt dej;Pas.gouter;Pas.soiree;Pas.apres dej;Pas.apres diner;Pas.tt moment;maison;travail;Pas.salon de t;Pas.amis;Pas.resto;Pas.bar;parfume;citron;sucre;sachet;GMS;t_MDD;F;etudiant;sportif;20;15-24;3 à 6/sem;evasion-exotisme;spiritualite;Pas.bon pr la sante;diuretique;Pas.convivialite;absorption fer;feminin;Pas.raffine;Pas.amaigrissant;Pas.excitant;relaxant;Pas.ss effet sante
ptt dej;gouter;Pas.soiree;Pas.apres dej;Pas.apres diner;tt moment;maison;travail;Pas.salon de t;amis;Pas.resto;bar;parfume;lait;sucre;sachet;GMS;t_inconnu;F;etudiant;sportif;19;15-24;3 à 6/sem;evasion-exotisme;spiritualite;bon pr la sante;diuretique;convivialite;Pas.absorption fer;Pas.feminin;raffine;Pas.amaigrissant;Pas.excitant;relaxant;Pas.ss effet sante
ptt dej;gouter;soiree;apres dej;Pas.apres diner;tt moment;maison;travail;salon de t;amis;Pas.resto;bar;parfume;pur;sucre;sachet+vrac;GMS+mag.spe.;t_haut_de_gamme;F;etudiant;sportif;19;15-24;+ de 2/jour;Pas.evasion-exotisme;spiritualite;bon pr la sante;Pas.diuretique;convivialite;absorption fer;feminin;raffine;Pas.amaigrissant;excitant;relaxant;Pas.ss effet sante
Pas.ptt dej;gouter;soiree;apres dej;Pas.apres diner;tt moment;maison;travail;Pas.salon de t;amis;resto;Pas.bar;parfume;lait;sucre;sachet;GMS;t_MDD;F;etudiant;Pas.sportif;17;15-24;1 à 2/sem;evasion-exotisme;Pas.spiritualite;bon pr la sante;diuretique;convivialite;Pas.absorption fer;Pas.feminin;raffine;Pas.amaigrissant;Pas.excitant;relaxant;Pas.ss effet sante
ptt dej;Pas.gouter;Pas.soiree;apres dej;Pas.apres diner;tt moment;maison;travail;Pas.salon de t;Pas.amis;Pas.resto;Pas.bar;parfume;lait;Pas.sucre;sachet;GMS+mag.spe.;t_variable;H;cadre sup;sportif;51;45-59;1/jour;evasion-exotisme;spiritualite;bon pr la sante;diuretique;Pas.convivialite;Pas.absorption fer;Pas.feminin;Pas.raffine;Pas.amaigrissant;excitant;Pas.relaxant;Pas.ss effet sante
Pas.ptt dej;gouter;soiree;Pas.apres dej;Pas.apres diner;tt moment;maison;Pas.travail;Pas.salon de t;amis;resto;Pas.bar;parfume;pur;sucre;sachet+vrac;GMS;t_inconnu;H;cadre sup;sportif;50;45-59;1 à 2/sem;evasion-exotisme;spiritualite;Pas.bon pr la sante;diuretique;convivialite;Pas.absorption fer;Pas.feminin;raffine;Pas.amaigrissant;Pas.excitant;Pas.relaxant;Pas.ss effet sante
Pas.ptt dej;gouter;soiree;Pas.apres dej;Pas.apres diner;Pas.tt moment;maison;Pas.travail;Pas.salon de t;amis;resto;Pas.bar;noir;lait;sucre;sachet+vrac;GMS;t_marque_connue;H;etudiant;sportif;20;15-24;1/jour;Pas.evasion-exotisme;Pas.spiritualite;bon pr la sante;diuretique;convivialite;Pas.absorption fer;Pas.feminin;raffine;Pas.amaigrissant;excitant;relaxant;Pas.ss effet sante
Pas.ptt dej;Pas.gouter;Pas.soiree;apres dej;Pas.apres diner;Pas.tt moment;Pas.maison;travail;Pas.salon de t;Pas.amis;resto;Pas.bar;parfume;pur;sucre;sachet+vrac;GMS;t_variable;H;cadre sup;sportif;25;25-34;1 à 2/sem;Pas.evasion-exotisme;Pas.spiritualite;Pas.bon pr la sante;Pas.diuretique;convivialite;Pas.absorption fer;Pas.feminin;raffine;Pas.amaigrissant;excitant;Pas.relaxant;Pas.ss effet sante
ptt dej;gouter;soiree;Pas.apres dej;Pas.apres diner;tt moment;maison;Pas.travail;Pas.salon de t;amis;resto;Pas.bar;noir;lait;Pas.sucre;sachet;GMS;t_haut_de_gamme;H;non actif;Pas.sportif;78;60 et +;+ de 2/jour;Pas.evasion-exotisme;spiritualite;bon pr la sante;Pas.diuretique;convivialite;Pas.absorption fer;Pas.feminin;Pas.raffine;Pas.amaigrissant;Pas.excitant;relaxant;Pas.ss effet sante
Pas.ptt dej;Pas.gouter;soiree;Pas.apres dej;Pas.apres diner;Pas.tt moment;Pas.maison;Pas.travail;salon de t;amis;resto;Pas.bar;parfume;pur;Pas.sucre;vrac;GMS;t_haut_de_gamme;H;cadre sup;sportif;49;45-59;1 à 2/sem;evasion-exotisme;Pas.spiritualite;Pas.bon pr la sante;Pas.diuretique;convivialite;Pas.absorption fer;Pas.feminin;raffine;Pas.amaigrissant;Pas.excitant;Pas.relaxant;Pas.ss effet sante
Pas.ptt dej;gouter;Pas.soiree;Pas.apres dej;Pas.apres diner;tt moment;maison;Pas.travail;Pas.salon de t;amis;Pas.resto;Pas.bar;parfume;pur;sucre;vrac;magasin specialise;t_haut_de_gamme;H;autre actif;Pas.sportif;42;35-44;1 à 2/sem;Pas.evasion-exotisme;spiritualite;bon pr la sante;diuretique;convivialite;Pas.absorption fer;Pas.feminin;raffine;Pas.amaigrissant;Pas.excitant;relaxant;Pas.ss effet sante
ptt dej;Pas.gouter;soiree;Pas.apres dej;Pas.apres diner;Pas.tt moment;maison;Pas.travail;Pas.salon de t;Pas.amis;resto;Pas.bar;noir;lait;sucre;sachet+vrac;GMS;t_variable;H;autre actif;sportif;32;25-34;+ de 2/jour;Pas.evasion-exotisme;Pas.spiritualite;bon pr la sante;diuretique;convivialite;Pas.absorption fer;Pas.feminin;raffine;Pas.amaigrissant;Pas.excitant;relaxant;Pas.ss effet sante
ptt dej;Pas.gouter;Pas.soiree;Pas.apres dej;Pas.apres diner;Pas.tt moment;maison;Pas.travail;Pas.salon de t;Pas.amis;Pas.resto;Pas.bar;parfume;lait;sucre;sachet;GMS;t_marque_connue;H;employe;sportif;20;15-24;1/jour;Pas.evasion-exotisme;Pas.spiritualite;bon pr la sante;Pas.diuretique;Pas.convivialite;Pas.absorption fer;Pas.feminin;raffine;Pas.amaigrissant;Pas.excitant;relaxant;Pas.ss effet sante
ptt dej;gouter;Pas.soiree;Pas.apres dej;Pas.apres diner;Pas.tt moment;maison;travail;Pas.salon de t;amis;resto;Pas.bar;parfume;pur;Pas.sucre;sachet;GMS;t_variable;H;cadre moyen;Pas.sportif;35;35-44;+ de 2/jour;Pas.evasion-exotisme;Pas.spiritualite;bon pr la sante;Pas.diuretique;convivialite;Pas.absorption fer;Pas.feminin;raffine;Pas.amaigrissant;Pas.excitant;relaxant;Pas.ss effet sante
ptt dej;gouter;soiree;apres dej;Pas.apres diner;Pas.tt moment;maison;travail;Pas.salon de t;amis;resto;Pas.bar;noir;lait;sucre;sachet+vrac;GMS+mag.spe.;t_variable;H;cadre sup;sportif;33;25-34;+ de 2/jour;Pas.evasion-exotisme;Pas.spiritualite;bon pr la sante;diuretique;convivialite;Pas.absorption fer;Pas.feminin;Pas.raffine;Pas.amaigrissant;Pas.excitant;relaxant;Pas.ss effet sante
Pas.ptt dej;gouter;soiree;Pas.apres dej;Pas.apres diner;Pas.tt moment;maison;travail;salon de t;Pas.amis;Pas.resto;Pas.bar;parfume;pur;Pas.sucre;vrac;magasin specialise;t_haut_de_gamme;H;cadre sup;Pas.sportif;56;45-59;1/jour;evasion-exotisme;Pas.spiritualite;bon pr la sante;Pas.diuretique;convivialite;Pas.absorption fer;Pas.feminin;raffine;Pas.amaigrissant;Pas.excitant;relaxant;Pas.ss effet sante
Pas.ptt dej;Pas.gouter;soiree;apres dej;Pas.apres diner;Pas.tt moment;maison;Pas.travail;salon de t;amis;resto;bar;parfume;pur;sucre;sachet;GMS;t_variable;F;non actif;sportif;33;25-34;+ de 2/jour;Pas.evasion-exotisme;spiritualite;Pas.bon pr la sante;Pas.diuretique;convivialite;Pas.absorption fer;feminin;raffine;Pas.amaigrissant;excitant;relaxant;Pas.ss effet sante
Pas.ptt dej;Pas.gouter;soiree;Pas.apres dej;Pas.apres diner;Pas.tt moment;maison;Pas.travail;Pas.salon de t;Pas.amis;Pas.resto;Pas.bar;vert;pur;sucre;sachet+vrac;GMS;t_marque_connue;H;non actif;sportif;29;25-34;1/jour;evasion-exotisme;Pas.spiritualite;bon pr la sante;diuretique;convivialite;Pas.absorption fer;Pas.feminin;raffine;Pas.amaigrissant;Pas.excitant;relaxant;Pas.ss effet sante
ptt dej;gouter;Pas.soiree;Pas.apres dej;Pas.apres diner;tt moment;maison;travail;salon de t;amis;Pas.resto;Pas.bar;parfume;lait;sucre;sachet+vrac;GMS+mag.spe.;t_marque_connue;F;cadre moyen;Pas.sportif;43;35-44;+ de 2/jour;Pas.evasion-exotisme;spiritualite;bon pr la sante;diuretique;convivialite;Pas.absorption fer;feminin;raffine;Pas.amaigrissant;Pas.excitant;relaxant;Pas.ss effet sante
ptt dej;gouter;Pas.soiree;Pas.apres dej;Pas.apres diner;tt moment;maison;Pas.travail;Pas.salon de t;amis;Pas.resto;Pas.bar;parfume;lait;sucre;sachet;GMS;t_marque_connue;F;etudiant;sportif;22;15-24;+ de 2/jour;evasion-exotisme;Pas.spiritualite;Pas.bon pr la sante;Pas.diuretique;convivialite;Pas.absorption fer;Pas.feminin;raffine;Pas.amaigrissant;excitant;Pas.relaxant;Pas.ss effet sante
ptt dej;Pas.gouter;soiree;Pas.apres dej;Pas.apres diner;tt moment;maison;Pas.travail;Pas.salon de t;amis;Pas.resto;bar;parfume;pur;sucre;sachet;GMS;t_bas_de_gamme;F;employe;Pas.sportif;20;15-24;+ de 2/jour;evasion-exotisme;Pas.spiritualite;bon pr la sante;Pas.diuretique;convivialite;Pas.absorption fer;feminin;Pas.raffine;amaigrissant;excitant;relaxant;Pas.ss effet sante
Pas.ptt dej;gouter;soiree;Pas.apres dej;Pas.apres diner;Pas.tt moment;maison;Pas.travail;Pas.salon de t;amis;resto;Pas.bar;parfume;pur;sucre;sachet;GMS;t_marque_connue;H;etudiant;Pas.sportif;27;25-34;+ de 2/jour;evasion-exotisme;Pas.spiritualite;Pas.bon pr la sante;Pas.diuretique;convivialite;Pas.absorption fer;feminin;raffine;Pas.amaigrissant;Pas.excitant;relaxant;Pas.ss effet sante
Pas.ptt dej;gouter;soiree;Pas.apres dej;Pas.apres diner;Pas.tt moment;maison;Pas.travail;Pas.salon de t;amis;resto;Pas.bar;parfume;pur;sucre;sachet;GMS;t_marque_connue;F;etudiant;Pas.sportif;22;15-24;+ de 2/jour;evasion-exotisme;Pas.spiritualite;Pas.bon pr la sante;Pas.diuretique;convivialite;Pas.absorption fer;feminin;Pas.raffine;Pas.amaigrissant;Pas.excitant;relaxant;Pas.ss effet sante
Pas.ptt dej;gouter;soiree;Pas.apres dej;Pas.apres diner;tt moment;maison;travail;salon de t;amis;resto;bar;parfume;pur;sucre;sachet+vrac;GMS;t_marque_connue;F;etudiant;Pas.sportif;23;15-24;1/jour;evasion-exotisme;Pas.spiritualite;bon pr la sante;Pas.diuretique;convivialite;Pas.absorption fer;feminin;raffine;Pas.amaigrissant;Pas.excitant;relaxant;Pas.ss effet sante
Pas.ptt dej;gouter;Pas.soiree;Pas.apres dej;Pas.apres diner;Pas.tt moment;maison;travail;Pas.salon de t;amis;Pas.resto;Pas.bar;parfume;pur;Pas.sucre;sachet;GMS+mag.spe.;t_marque_connue;F;ouvrier;sportif;46;45-59;1/jour;evasion-exotisme;Pas.spiritualite;bon pr la sante;diuretique;convivialite;Pas.absorption fer;feminin;raffine;Pas.amaigrissant;Pas.excitant;relaxant;ss effet sante
Pas.ptt dej;Pas.gouter;Pas.soiree;Pas.apres dej;Pas.apres diner;tt moment;maison;travail;Pas.salon de t;amis;Pas.resto;bar;parfume;pur;Pas.sucre;sachet+vrac;magasin specialise;t_variable;F;cadre sup;sportif;35;35-44;+ de 2/jour;evasion-exotisme;Pas.spiritualite;bon pr la sante;diuretique;convivialite;Pas.absorption fer;Pas.feminin;Pas.raffine;amaigrissant;Pas.excitant;Pas.relaxant;ss effet sante
ptt dej;Pas.gouter;Pas.soiree;Pas.apres dej;Pas.apres diner;Pas.tt moment;maison;Pas.travail;Pas.salon de t;amis;Pas.resto;Pas.bar;parfume;citron;Pas.sucre;sachet;GMS;t_marque_connue;F;autre actif;Pas.sportif;28;25-34;1/jour;evasion-exotisme;Pas.spiritualite;bon pr la sante;Pas.diuretique;convivialite;absorption fer;Pas.feminin;raffine;Pas.amaigrissant;excitant;relaxant;Pas.ss effet sante
Pas.ptt dej;Pas.gouter;Pas.soiree;Pas.apres dej;Pas.apres diner;tt moment;maison;Pas.travail;Pas.salon de t;amis;Pas.resto;Pas.bar;parfume;pur;Pas.sucre;sachet+vrac;GMS+mag.spe.;t_variable;F;etudiant;Pas.sportif;20;15-24;+ de 2/jour;Pas.evasion-exotisme;Pas.spiritualite;bon pr la sante;diuretique;convivialite;absorption fer;Pas.feminin;raffine;Pas.amaigrissant;Pas.excitant;relaxant;Pas.ss effet sante
Pas.ptt dej;gouter;Pas.soiree;Pas.apres dej;Pas.apres diner;Pas.tt moment;maison;Pas.travail;Pas.salon de t;Pas.amis;Pas.resto;Pas.bar;parfume;pur;sucre;sachet;GMS+mag.spe.;t_haut_de_gamme;H;non actif;Pas.sportif;71;60 et +;1/jour;evasion-exotisme;Pas.spiritualite;Pas.bon pr la sante;diuretique;Pas.convivialite;Pas.absorption fer;Pas.feminin;raffine;Pas.amaigrissant;Pas.excitant;relaxant;ss effet sante
Pas.ptt dej;Pas.gouter;soiree;Pas.apres dej;Pas.apres diner;Pas.tt moment;maison;Pas.travail;Pas.salon de t;amis;resto;bar;parfume;pur;sucre;sachet;GMS;t_MDD;H;cadre moyen;Pas.sportif;28;25-34;+ de 2/jour;Pas.evasion-exotisme;spiritualite;Pas.bon pr la sante;Pas.diuretique;convivialite;Pas.absorption fer;feminin;raffine;Pas.amaigrissant;excitant;Pas.relaxant;Pas.ss effet sante
ptt dej;Pas.gouter;soiree;Pas.apres dej;Pas.apres diner;Pas.tt moment;maison;Pas.travail;Pas.salon de t;amis;Pas.resto;Pas.bar;parfume;pur;sucre;sachet;GMS;t_marque_connue;F;etudiant;sportif;23;15-24;+ de 2/jour;Pas.evasion-exotisme;Pas.spiritualite;Pas.bon pr la sante;Pas.diuretique;convivialite;Pas.absorption fer;feminin;raffine;Pas.amaigrissant;Pas.excitant;relaxant;ss effet sante
Pas.ptt dej;Pas.gouter;soiree;Pas.apres dej;Pas.apres diner;Pas.tt moment;maison;Pas.travail;Pas.salon de t;amis;Pas.resto;Pas.bar;parfume;pur;Pas.sucre;sachet;GMS;t_inconnu;F;employe;Pas.sportif;21;15-24;1/jour;evasion-exotisme;spiritualite;Pas.bon pr la sante;Pas.diuretique;convivialite;Pas.absorption fer;feminin;Pas.raffine;Pas.amaigrissant;Pas.excitant;Pas.relaxant;Pas.ss effet sante
